archive_date,year,amount,type,archive_url
04.01.2025,2025,3827,erityisasiantuntija,https://web.archive.org/web/20250104213951/https://migri.fi/en/specialist
04.03.2024,2024,3638,erityisasiantuntija,https://web.archive.org/web/20240304082130/https://migri.fi/en/specialist
27.03.2023,2023,3473,erityisasiantuntija,https://web.archive.org/web/20230327221202/https://migri.fi/en/specialist
16.01.2023,2023,3000,erityisasiantuntija,https://web.archive.org/web/20230116233417/https://migri.fi/en/specialist
28.01.2022,2022,3000,erityisasiantuntija,https://web.archive.org/web/20220128055917/https://migri.fi/erityisasiantuntija
28.02.2021,2021,3000,erityisasiantuntija,https://web.archive.org/web/20210228131909/https://migri.fi/erityisasiantuntija
06.04.2020,2020,3000,erityisasiantuntija,https://web.archive.org/web/20200406213111/https://migri.fi/erityisasiantuntija
17.01.2019,2019,3000,erityisasiantuntija,https://web.archive.org/web/20190624142622/https://migri.fi/erityisasiantuntija
29.01.2018,2018,3000,erityisasiantuntija,https://web.archive.org/web/20180129002416/https://migri.fi/erityisasiantuntija
04.01.2025,2025,3827,eu-n-sininenkortti,https://web.archive.org/web/20250104220144/https://migri.fi/eu-n-sininen-kortti
04.12.2024,2024,3638,eu-n-sininenkortti,https://web.archive.org/web/20241204000843/https://migri.fi/eu-n-sininen-kortti
18.06.2024,2024,3638,eu-n-sininenkortti,https://web.archive.org/web/20240415231053/https://migri.fi/eu-n-sininen-kortti
15.04.2024,2024,5457,eu-n-sininenkortti,https://web.archive.org/web/20240415231053/https://migri.fi/eu-n-sininen-kortti
21.09.2023,2023,5209,eu-n-sininenkortti,https://web.archive.org/web/20230921131802/https://migri.fi/eu-n-sininen-kortti
15.01.2023,2023,5209,eu-n-sininenkortti,https://web.archive.org/web/20230115093315/https://migri.fi/eu-n-sininen-kortti
07.12.2022,2022,5069,eu-n-sininenkortti,https://web.archive.org/web/20221207174531/https://migri.fi/eu-n-sininen-kortti
25.01.2022,2022,4929,eu-n-sininenkortti,https://web.archive.org/web/20220125055137/https://migri.fi/eu-n-sininen-kortti
18.10.2021,2021,4929,eu-n-sininenkortti,https://web.archive.org/web/20211018082255/https://migri.fi/eu-n-sininen-kortti
17.01.2021,2021,4852,eu-n-sininenkortti,https://web.archive.org/web/20210117131258/https://migri.fi/eu-n-sininen-kortti
12.11.2020,2020,4852,eu-n-sininenkortti,https://web.archive.org/web/20201112034023/https://migri.fi/eu-n-sininen-kortti
06.04.2020,2020,4852,eu-n-sininenkortti,https://web.archive.org/web/20200406152945/https://migri.fi/eu-n-sininen-kortti
06.12.2019,2019,4732,eu-n-sininenkortti,https://web.archive.org/web/20191206114305/https://migri.fi/eu-n-sininen-kortti
25.06.2019,2019,4732,eu-n-sininenkortti,https://web.archive.org/web/20190625025704/https://migri.fi/eu-n-sininen-kortti
14.01.2019,2019,4732,eu-n-sininenkortti,https://web.archive.org/web/20190114205503/https://migri.fi/eu-n-sininen-kortti
14.12.2018,2018,4663,eu-n-sininenkortti,https://web.archive.org/web/20181214215534/https://migri.fi/eu-n-sininen-kortti
29.01.2018,2018,4578,eu-n-sininenkortti,https://web.archive.org/web/20180129000845/https://migri.fi/eu-n-sininen-kortti
04.01.2025,2025,1600,tyontekijan-oleskelulupa,https://web.archive.org/web/20250104222553/https://migri.fi/tyontekijan-oleskelulupa
26.02.2024,2024,1399,tyontekijan-oleskelulupa,https://web.archive.org/web/20240226021300/https://migri.fi/tyontekijan-oleskelulupa
03.10.2023,2023,1331,tyontekijan-oleskelulupa,https://web.archive.org/web/20231003014901/https://migri.fi/tyontekijan-oleskelulupa
27.07.2022,2022,1283,tyontekijan-oleskelulupa,https://web.archive.org/web/20220727063432/https://migri.fi/toimeentuloedellytys
14.05.2021,2021,1252,tyontekijan-oleskelulupa,https://web.archive.org/web/20210514171609/https://migri.fi/toimeentuloedellytys
11.05.2020,2020,1236,tyontekijan-oleskelulupa,https://web.archive.org/web/20200511075353/https://migri.fi/toimeentuloedellytys
24.06.2019,2019,1211,tyontekijan-oleskelulupa,https://web.archive.org/web/20190624111418/https://migri.fi/toimeentuloedellytys
26.02.2028,2018,1189,tyontekijan-oleskelulupa,https://web.archive.org/web/20180527164253/http://www.migri.fi:80/toimeentuloedellytys
